type|protocol|sIP|dIP|sPort|dPort|packets|bytes|sTime|duration|initialTCPflags|remainingTCPflags|
in|6|113.241.220.96|10.0.100.9|62122|0|1|42|2020/11/24T20:20:47|0.002|    S       |
in|6|172.244.131.107|10.0.100.9|62071|1|1|41|2020/11/24T20:23:17|0.002|    S       |
in|6|221.126.188.138|10.0.100.9|56900|2|1|43|2020/11/24T20:25:47|0.002|    S       |
in|6|215.239.85.240|10.0.100.9|56274|3|1|43|2020/11/24T20:28:17|0.002|    S       |
in|6|111.210.114.192|10.0.100.9|61171|4|1|41|2020/11/24T20:30:47|0.002|    S       |
in|6|237.11.226.234|10.0.100.9|52275|5|1|43|2020/11/24T20:33:17|0.002|    S       |
in|6|219.203.59.20|10.0.100.9|53553|6|1|42|2020/11/24T20:35:47|0.002|    S       |
in|6|37.253.207.156|10.0.100.9|55529|7|1|42|2020/11/24T20:38:17|0.002|    S       |
in|6|46.203.245.44|10.0.100.9|62453|8|1|41|2020/11/24T20:40:47|0.002|    S       |
in|6|17.122.171.73|10.0.100.9|55307|9|1|42|2020/11/24T20:43:17|0.002|    S       |
in|6|110.156.248.122|10.0.100.9|52058|10|1|41|2020/11/24T20:45:47|0.002|    S       |
in|6|154.35.171.162|10.0.100.9|58349|11|1|41|2020/11/24T20:48:17|0.002|    S       |
in|6|181.218.137.153|10.0.100.9|56820|12|1|42|2020/11/24T20:50:47|0.002|    S       |
in|6|41.97.103.238|10.0.100.9|51716|13|1|43|2020/11/24T20:51:30|0.002|    S       |
in|6|37.217.226.221|10.0.100.9|54360|14|1|43|2020/11/24T20:52:12|0.002|    S       |
in|6|220.213.188.55|10.0.100.9|57577|15|1|42|2020/11/24T20:52:55|0.002|    S       |
in|6|207.82.203.165|10.0.100.9|64968|16|1|41|2020/11/24T20:53:38|0.002|    S       |
in|6|94.34.88.50|10.0.100.9|58974|17|1|41|2020/11/24T20:54:21|0.002|    S       |
in|6|131.40.183.185|10.0.100.9|62526|18|1|43|2020/11/24T20:55:04|0.002|    S       |
in|6|223.199.201.123|10.0.100.9|53702|19|1|41|2020/11/24T20:55:47|0.002|    S       |
in|6|210.23.250.72|10.0.100.9|51261|20|1|41|2020/11/24T20:56:30|0.002|    S       |
in|6|223.110.221.211|10.0.100.9|55194|21|1|43|2020/11/24T20:57:12|0.002|    S       |
in|6|6.143.33.240|10.0.100.9|55321|22|1|41|2020/11/24T20:57:55|0.002|    S       |
in|6|175.151.64.218|10.0.100.9|54245|23|1|42|2020/11/24T20:58:38|0.002|    S       |
in|6|198.126.153.9|10.0.100.9|50319|24|1|42|2020/11/24T20:59:21|0.002|    S       |
in|6|235.147.241.134|10.0.100.9|62698|25|1|43|2020/11/24T21:00:04|0.002|    S       |
out|6|10.0.100.9|235.147.241.134|25|62698|1|43|2020/11/24T21:00:04|0.002| A          |
in|6|235.147.241.134|10.0.100.9|62698|25|1|43|2020/11/24T21:00:04|0.002|   R        |
in|6|200.162.232.239|10.0.100.9|50423|26|1|43|2020/11/24T21:00:47|0.002|    S       |
in|6|136.30.134.68|10.0.100.9|55451|27|1|42|2020/11/24T21:01:30|0.002|    S       |
in|6|111.93.57.207|10.0.100.9|51766|28|1|43|2020/11/24T21:02:12|0.002|    S       |
in|6|22.145.161.121|10.0.100.9|59629|29|1|42|2020/11/24T21:02:55|0.002|    S       |
in|6|60.192.114.132|10.0.100.9|52713|30|1|43|2020/11/24T21:03:38|0.002|    S       |
in|6|160.220.6.203|10.0.100.9|61393|31|1|43|2020/11/24T21:04:21|0.002|    S       |
in|6|229.68.235.179|10.0.100.9|53790|32|1|41|2020/11/24T21:05:04|0.002|    S       |
in|6|231.176.37.228|10.0.100.9|57027|33|1|41|2020/11/24T21:05:47|0.002|    S       |
in|6|94.111.0.172|10.0.100.9|64909|34|1|43|2020/11/24T21:06:30|0.002|    S       |
in|6|41.94.186.193|10.0.100.9|61789|35|1|41|2020/11/24T21:07:12|0.002|    S       |
in|6|197.20.201.220|10.0.100.9|54244|36|1|42|2020/11/24T21:07:55|0.002|    S       |
out|6|10.0.100.9|197.20.201.220|36|54244|1|42|2020/11/24T21:07:55|0.002| A          |
in|6|197.20.201.220|10.0.100.9|54244|36|1|42|2020/11/24T21:07:55|0.002|   R        |
in|6|102.82.14.83|10.0.100.9|52619|37|1|43|2020/11/24T21:08:38|0.002|    S       |
in|6|34.189.18.56|10.0.100.9|58027|38|1|42|2020/11/24T21:09:21|0.002|    S       |
in|6|79.114.160.248|10.0.100.9|50669|39|1|43|2020/11/24T21:10:04|0.002|    S       |
in|6|109.46.220.35|10.0.100.9|53291|40|1|41|2020/11/24T21:10:47|0.002|    S       |
in|6|38.100.139.43|10.0.100.9|53568|41|1|41|2020/11/24T21:11:30|0.002|    S       |
in|6|89.15.113.21|10.0.100.9|56629|42|1|42|2020/11/24T21:12:12|0.002|    S       |
in|6|14.71.19.154|10.0.100.9|52950|43|1|42|2020/11/24T21:12:55|0.002|    S       |
in|6|141.7.174.38|10.0.100.9|64290|44|1|42|2020/11/24T21:13:38|0.002|    S       |
in|6|0.218.9.235|10.0.100.9|57372|45|1|42|2020/11/24T21:14:21|0.002|    S       |
in|6|29.105.20.244|10.0.100.9|50937|46|1|42|2020/11/24T21:15:04|0.002|    S       |
out|6|10.0.100.9|29.105.20.244|46|50937|1|42|2020/11/24T21:15:04|0.002| A          |
in|6|29.105.20.244|10.0.100.9|50937|46|1|42|2020/11/24T21:15:04|0.002|   R        |
in|6|85.241.242.214|10.0.100.9|63461|47|1|43|2020/11/24T21:15:47|0.002|    S       |
in|6|142.219.58.164|10.0.100.9|61081|48|1|41|2020/11/24T21:16:30|0.002|    S       |
in|6|119.166.16.73|10.0.100.9|59097|49|1|43|2020/11/24T21:17:12|0.002|    S       |
in|6|224.112.116.205|10.0.100.9|56510|50|1|42|2020/11/24T21:17:55|0.002|    S       |
in|6|38.224.120.108|10.0.100.9|50252|51|1|43|2020/11/24T21:18:38|0.002|    S       |
in|6|32.13.195.55|10.0.100.9|58843|52|1|43|2020/11/24T21:19:21|0.002|    S       |
in|6|39.46.197.201|10.0.100.9|50208|53|1|42|2020/11/24T21:20:04|0.002|    S       |
in|6|140.11.19.203|10.0.100.9|54344|54|1|41|2020/11/24T21:20:47|0.002|    S       |
out|6|10.0.100.9|140.11.19.203|54|54344|1|41|2020/11/24T21:20:47|0.002| A          |
in|6|140.11.19.203|10.0.100.9|54344|54|1|41|2020/11/24T21:20:47|0.002|   R        |
in|6|107.123.63.167|10.0.100.9|52595|55|1|41|2020/11/24T21:21:30|0.002|    S       |
in|6|6.51.0.29|10.0.100.9|52826|56|1|41|2020/11/24T21:22:12|0.002|    S       |
in|6|137.4.205.132|10.0.100.9|58876|57|1|43|2020/11/24T21:22:55|0.002|    S       |
in|6|141.209.113.233|10.0.100.9|52515|58|1|42|2020/11/24T21:23:38|0.002|    S       |
out|6|10.0.100.9|141.209.113.233|58|52515|1|42|2020/11/24T21:23:38|0.002| A          |
in|6|141.209.113.233|10.0.100.9|52515|58|1|42|2020/11/24T21:23:38|0.002|   R        |
in|6|242.254.220.65|10.0.100.9|63857|59|1|42|2020/11/24T21:24:21|0.002|    S       |
out|6|10.0.100.9|242.254.220.65|59|63857|1|42|2020/11/24T21:24:21|0.002| A          |
in|6|242.254.220.65|10.0.100.9|63857|59|1|42|2020/11/24T21:24:21|0.002|   R        |
in|6|179.116.199.45|10.0.100.9|59572|60|1|43|2020/11/24T21:25:04|0.002|    S       |
in|6|144.105.216.141|10.0.100.9|54517|61|1|42|2020/11/24T21:25:47|0.002|    S       |
in|6|145.76.195.99|10.0.100.9|63336|62|1|43|2020/11/24T21:26:30|0.002|    S       |
in|6|155.133.35.241|10.0.100.9|57588|63|1|43|2020/11/24T21:27:12|0.002|    S       |
in|6|239.25.167.203|10.0.100.9|51769|64|1|42|2020/11/24T21:27:55|0.002|    S       |
in|6|207.165.68.146|10.0.100.9|61402|65|1|43|2020/11/24T21:28:38|0.002|    S       |
in|6|251.62.126.221|10.0.100.9|52917|66|1|42|2020/11/24T21:29:21|0.002|    S       |
in|6|60.156.155.254|10.0.100.9|52558|67|1|42|2020/11/24T21:30:04|0.002|    S       |
out|6|10.0.100.9|60.156.155.254|67|52558|1|42|2020/11/24T21:30:04|0.002| A          |
in|6|60.156.155.254|10.0.100.9|52558|67|1|42|2020/11/24T21:30:04|0.002|   R        |
in|6|60.115.226.16|10.0.100.9|56634|68|1|41|2020/11/24T21:30:47|0.002|    S       |
in|6|211.67.77.231|10.0.100.9|58334|69|1|41|2020/11/24T21:31:30|0.002|    S       |
in|6|146.118.218.144|10.0.100.9|57176|70|1|42|2020/11/24T21:32:12|0.002|    S       |
in|6|38.151.239.69|10.0.100.9|59931|71|1|42|2020/11/24T21:32:55|0.002|    S       |
in|6|68.40.76.184|10.0.100.9|52220|72|1|41|2020/11/24T21:33:38|0.002|    S       |
in|6|221.36.148.223|10.0.100.9|60709|73|1|42|2020/11/24T21:34:21|0.002|    S       |
in|6|142.19.215.213|10.0.100.9|61492|74|1|41|2020/11/24T21:35:04|0.002|    S       |
in|6|236.251.34.68|10.0.100.9|61499|75|1|42|2020/11/24T21:35:47|0.002|    S       |
in|6|190.183.21.71|10.0.100.9|56857|76|1|42|2020/11/24T21:36:30|0.002|    S       |
out|6|10.0.100.9|190.183.21.71|76|56857|1|42|2020/11/24T21:36:30|0.002| A          |
in|6|190.183.21.71|10.0.100.9|56857|76|1|42|2020/11/24T21:36:30|0.002|   R        |
in|6|99.168.254.42|10.0.100.9|51074|77|1|43|2020/11/24T21:37:12|0.002|    S       |
in|6|157.202.98.58|10.0.100.9|64891|78|1|43|2020/11/24T21:37:55|0.002|    S       |
in|6|74.15.82.215|10.0.100.9|64289|79|1|43|2020/11/24T21:38:38|0.002|    S       |
out|6|10.0.100.9|74.15.82.215|79|64289|1|43|2020/11/24T21:38:38|0.002| A          |
in|6|74.15.82.215|10.0.100.9|64289|79|1|43|2020/11/24T21:38:38|0.002|   R        |
in|6|156.68.218.173|10.0.100.9|53404|80|1|43|2020/11/24T21:39:21|0.002|    S       |
in|6|148.27.5.90|10.0.100.9|63708|81|1|42|2020/11/24T21:40:04|0.002|    S       |
in|6|228.53.230.90|10.0.100.9|56879|82|1|42|2020/11/24T21:40:47|0.002|    S       |
in|6|28.126.81.55|10.0.100.9|52991|83|1|43|2020/11/24T21:41:30|0.002|    S       |
in|6|66.50.223.61|10.0.100.9|56697|84|1|43|2020/11/24T21:42:12|0.002|    S       |
in|6|22.169.106.170|10.0.100.9|61636|85|1|42|2020/11/24T21:42:55|0.002|    S       |
in|6|101.122.209.212|10.0.100.9|55200|86|1|42|2020/11/24T21:43:38|0.002|    S       |
in|6|230.176.197.215|10.0.100.9|51777|87|1|43|2020/11/24T21:44:21|0.002|    S       |
in|6|4.6.201.244|10.0.100.9|55086|88|1|43|2020/11/24T21:45:04|0.002|    S       |
in|6|144.95.195.115|10.0.100.9|52543|89|1|43|2020/11/24T21:45:47|0.002|    S       |
in|6|109.88.4.41|10.0.100.9|50104|90|1|41|2020/11/24T21:46:30|0.002|    S       |
out|6|10.0.100.9|109.88.4.41|90|50104|1|41|2020/11/24T21:46:30|0.002| A          |
in|6|109.88.4.41|10.0.100.9|50104|90|1|41|2020/11/24T21:46:30|0.002|   R        |
in|6|224.6.153.129|10.0.100.9|57191|91|1|42|2020/11/24T21:47:12|0.002|    S       |
in|6|121.155.96.5|10.0.100.9|61179|92|1|42|2020/11/24T21:47:55|0.002|    S       |
in|6|141.144.13.162|10.0.100.9|53514|93|1|43|2020/11/24T21:48:38|0.002|    S       |
in|6|4.238.176.37|10.0.100.9|50530|94|1|41|2020/11/24T21:49:21|0.002|    S       |
in|6|48.227.0.51|10.0.100.9|52985|95|1|41|2020/11/24T21:50:04|0.002|    S       |
